kind,a,b,c,d,e,f,g,h,i
btb_header,spacing,n,cycles_per_branch,mis_per_branch,l1i_refill_per_branch,stall_frontend_per_branch,itlb_walk_per_branch
btb,4,1,1.0002,0.00000,0.00000,0.0001,0.00000
btb,4,2,1.0002,0.00000,0.00000,0.0001,0.00000
btb,4,3,1.0002,0.00000,0.00000,0.0001,0.00000
btb,4,4,1.8335,0.00000,0.00000,0.8334,0.00000
btb,4,6,1.0002,0.00000,0.00000,0.0001,0.00000
btb,4,8,1.5002,0.00000,0.00000,0.5001,0.00000
btb,4,12,1.0003,0.00000,0.00000,0.0001,0.00000
btb,4,16,1.6670,0.00000,0.00000,0.6668,0.00000
btb,4,24,1.9381,0.00000,0.00000,0.9380,0.00000
btb,4,32,2.0006,0.00000,0.00000,1.0005,0.00000
btb,4,48,2.0009,0.00000,0.00001,1.0008,0.00000
btb,4,64,2.0010,0.00000,0.00001,1.0009,0.00000
btb,4,96,4.2696,0.00000,0.00001,3.2694,0.00000
btb,4,128,4.9141,0.00000,0.00001,3.9139,0.00000
btb,4,192,5.2179,0.00000,0.00001,4.2178,0.00000
btb,4,256,5.2550,0.00000,0.00002,4.2549,0.00000
btb,4,384,5.3157,0.00000,0.00003,4.3156,0.00000
btb,4,512,5.3364,0.00000,0.00004,4.3363,0.00000
btb,4,768,5.3915,0.00000,0.00005,4.3914,0.00000
btb,4,1024,5.3933,0.00000,0.00006,4.3932,0.00000
btb,4,1536,5.4101,0.00000,0.00010,4.4100,0.00000
btb,4,2048,5.4002,0.00000,0.00013,4.4000,0.00000
btb,4,3072,5.4213,0.00000,0.00020,4.4212,0.00000
btb,4,4096,5.4235,0.00000,0.00028,4.4234,0.00000
btb,4,6144,5.4262,0.00000,0.00047,4.4261,0.00000
btb,4,8192,5.4352,0.00000,0.00069,4.4350,0.00000
btb,4,12288,5.6171,0.00000,0.00124,4.6170,0.00000
btb,4,16384,5.7239,0.00008,0.00261,4.7235,0.00000
btb,4,24576,9.2582,0.00006,0.59345,8.2578,0.00000
btb,4,32768,10.9113,0.00005,0.97760,9.9110,0.00000
btb,4,49152,12.4616,0.00004,1.37439,11.4613,0.00000
btb,4,65536,13.6250,0.00003,1.62198,12.6248,0.00000
btb,8,1,1.0002,0.00000,0.00000,0.0001,0.00000
btb,8,2,1.0002,0.00000,0.00000,0.0001,0.00000
btb,8,3,1.0002,0.00000,0.00000,0.0001,0.00000
btb,8,4,1.0002,0.00000,0.00000,0.0001,0.00000
btb,8,6,1.0002,0.00000,0.00000,0.0001,0.00000
btb,8,8,1.0002,0.00000,0.00000,0.0001,0.00000
btb,8,12,1.0002,0.00000,0.00000,0.0001,0.00000
btb,8,16,1.6669,0.00000,0.00000,0.6668,0.00000
btb,8,24,1.9343,0.00000,0.00001,0.9342,0.00000
btb,8,32,2.0002,0.00000,0.00001,1.0001,0.00000
btb,8,48,2.0003,0.00000,0.00001,1.0002,0.00000
btb,8,64,2.0004,0.00000,0.00001,1.0003,0.00000
btb,8,96,2.7102,0.00000,0.00001,1.7101,0.00000
btb,8,128,2.7353,0.00000,0.00002,1.7352,0.00000
btb,8,192,2.7480,0.00000,0.00002,1.7479,0.00000
btb,8,256,2.7488,0.00000,0.00003,1.7487,0.00000
btb,8,384,2.7496,0.00000,0.00005,1.7495,0.00000
btb,8,512,2.7505,0.00000,0.00006,1.7504,0.00000
btb,8,768,2.7515,0.00000,0.00009,1.7514,0.00000
btb,8,1024,2.7525,0.00000,0.00013,1.7524,0.00000
btb,8,1536,2.7538,0.00000,0.00018,1.7537,0.00000
