op,threads,size_per_thread_bytes,total_bytes,n_valid,gbps_median,gbps_mad,gbps_ci95_lo,gbps_ci95_hi,gbps_per_thread,bytes_per_cycle,l1d_refill_per_kib,l2d_refill_per_kib,l3d_refill_per_kib,bus_access_per_kib
read,1,16384,16384,30,75.3131,0.0200,75.2936,75.3147,75.3131,31.39903,0.00023,0.00006,0.00000,0.00204
read,1,32768,32768,30,59.3381,0.5761,58.9677,59.5257,59.3381,24.72674,0.00042,0.00005,0.00000,0.00127
read,1,65536,65536,30,59.1966,0.3768,58.9795,59.5734,59.1966,24.67970,0.07928,0.00011,0.00000,0.00363
read,1,131072,131072,30,44.1745,0.0526,44.0793,44.1864,44.1745,18.42498,1.22041,0.00027,0.00000,0.01128
read,1,262144,262144,30,44.2630,0.0425,44.0775,44.2833,44.2630,18.46317,1.18367,0.00292,0.00001,0.14368
read,1,393216,393216,30,43.7175,0.2018,42.1705,43.8072,43.7175,18.23615,1.37644,0.08325,0.00002,8.59076
read,1,524288,524288,30,40.9095,0.6312,39.6855,41.2242,40.9095,17.06132,2.59474,0.24078,0.00002,46.66511
read,1,1048576,1048576,30,34.9152,0.4380,34.4772,34.9578,34.9152,14.56509,5.37085,0.55861,0.00029,103.63742
read,1,1572864,1572864,30,33.0025,0.1826,32.8407,33.0710,33.0025,13.76236,6.07024,0.73135,0.00078,113.14571
read,1,2097152,2097152,30,30.5297,0.2483,30.4382,30.7202,30.5297,12.74492,5.43896,0.53208,0.16873,117.74541
read,1,4194304,4194304,30,23.5908,0.2768,23.4219,23.8274,23.5908,9.90065,8.44818,7.33003,8.06622,123.43468
read,1,8388608,8388608,30,17.8091,0.0418,17.7772,17.8370,17.8091,7.43371,12.55701,11.73356,12.36017,125.76576
read,1,33554432,33554432,30,14.5207,0.0176,14.5022,14.5309,14.5207,6.06470,14.58901,13.34393,15.23420,127.62077
read,1,134217728,134217728,30,13.8286,0.0138,13.8204,13.8357,13.8286,5.77649,14.83383,13.51272,16.00372,128.02539
read,1,268435456,268435456,30,13.8359,0.0022,13.8341,13.8370,13.8359,5.77664,14.84707,13.51309,16.00674,128.04416
write,1,16384,16384,30,38.1603,0.0107,38.1575,38.1740,38.1603,15.91281,0.00082,0.00007,0.00000,2.52393
write,1,32768,32768,30,38.2833,0.0044,38.2804,38.2863,38.2833,15.96143,0.00188,0.00010,0.00000,1.58687
write,1,65536,65536,30,38.3416,0.0045,38.3401,38.3441,38.3416,15.98620,0.00355,0.00025,0.00000,5.88937
write,1,131072,131072,30,38.3602,0.0075,38.3554,38.3620,38.3602,15.99294,0.00451,0.00086,0.00000,14.07582
write,1,262144,262144,30,38.3671,0.0030,38.3647,38.3680,38.3671,15.99683,0.00187,0.00079,0.00002,42.64249
write,1,393216,393216,30,38.3678,0.0055,38.3632,38.3693,38.3678,15.99678,0.00213,0.00082,0.00002,46.74321
write,1,524288,524288,30,38.3656,0.0044,38.3614,38.3682,38.3656,15.99590,0.00186,0.00081,0.00002,53.06538
write,1,1048576,1048576,30,38.3511,0.0079,38.3385,38.3569,38.3511,15.99167,0.00324,0.00106,0.00004,56.92305
write,1,1572864,1572864,30,36.8691,0.2417,36.6822,37.0697,36.8691,15.37152,0.00177,0.00076,0.00005,59.50469
write,1,2097152,2097152,30,28.0294,1.4916,26.3274,28.8328,28.0294,11.71035,0.00017,0.00008,0.00008,61.76414
write,1,4194304,4194304,30,14.0101,0.3651,13.9615,14.2904,14.0101,5.84474,0.00025,0.00014,0.00031,63.24710
write,1,8388608,8388608,30,10.7629,0.1727,10.5902,10.8104,10.7629,4.48709,0.00032,0.00018,0.00053,63.74633
write,1,33554432,33554432,30,9.2935,0.0712,9.2456,9.3249,9.2935,3.87483,0.00037,0.00045,0.00064,63.91924
write,1,134217728,134217728,30,9.0128,0.0298,8.9916,9.0285,9.0128,3.75769,0.00038,0.00106,0.00072,63.99280
write,1,268435456,268435456,30,8.9961,0.0213,8.9741,9.0024,8.9961,3.75102,0.00032,0.00243,0.00068,64.01025
copy,1,16384,16384,30,74.3676,0.0740,74.3383,74.4253,74.3676,31.02729,0.00031,0.00006,0.00000,8.41086
copy,1,32768,32768,30,75.4770,0.1366,75.3452,75.5372,75.4770,31.48945,0.00032,0.00004,0.00000,12.56264
copy,1,65536,65536,30,75.0849,0.0914,75.0526,75.1721,75.0849,31.32087,0.00061,0.00019,0.00000,15.45917
copy,1,131072,131072,30,74.4872,0.1162,74.4685,74.6730,74.4872,31.03863,0.03999,0.00012,0.00000,28.25121
copy,1,262144,262144,30,68.5523,0.0871,68.4868,68.6068,68.5523,28.59414,0.48923,0.00035,0.00002,25.19254
copy,1,393216,393216,30,68.4908,0.0696,68.4805,68.5599,68.4908,28.57381,0.48867,0.00071,0.00013,28.37811
copy,1,524288,524288,30,68.4551,0.0774,68.4345,68.5205,68.4551,28.55860,0.48939,0.00156,0.00042,31.31580
copy,1,1048576,1048576,30,47.2498,1.3456,46.0089,47.8422,47.2498,19.69795,1.18734,0.22480,0.31771,60.73632
copy,1,1572864,1572864,30,29.4123,4.4369,28.3990,34.6284,29.4123,12.26411,2.40171,1.78517,2.39080,71.00478
copy,1,2097152,2097152,30,26.5087,4.4752,25.6735,29.4381,26.5087,11.05517,2.91794,2.29726,2.89631,73.19963
copy,1,4194304,4194304,30,14.0615,0.3803,13.8729,14.3610,14.0615,5.86425,3.52016,3.17363,4.70196,71.09982
copy,1,8388608,8388608,30,10.4363,0.3348,10.3259,10.6715,10.4363,4.35304,3.57555,3.47385,7.19944,65.80347
copy,1,33554432,33554432,30,9.1221,0.0306,9.0995,9.1554,9.1221,3.80519,3.23511,3.07896,7.70931,66.67584
copy,1,134217728,134217728,30,8.8751,0.0124,8.8690,8.8852,8.8751,3.70306,3.19695,3.02002,7.91997,66.70213
