size_bytes,nodes,n_valid,ns_median,ns_mad,ns_ci95_lo,ns_ci95_hi,cycles_median,l1d_refill_per_load,l2d_refill_per_load,l3d_refill_per_load,ll_miss_rd_per_load,l1d_tlb_refill_per_load,dtlb_walk_per_load
4096,64,30,1.6669,0.0001,1.6669,1.6691,4.000,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000
5120,80,30,1.6670,0.0002,1.6669,1.6691,4.001,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000
6400,100,30,1.6680,0.0011,1.6669,1.6692,4.001,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000
8000,125,30,1.6670,0.0003,1.6669,1.6691,4.001,0.00007,0.00000,0.00000,0.00000,0.00000,0.00000
8192,128,30,1.6669,0.0001,1.6669,1.6692,4.001,0.00007,0.00000,0.00000,0.00000,0.00000,0.00000
9984,156,30,1.6670,0.0001,1.6670,1.6691,4.001,0.00008,0.00000,0.00000,0.00000,0.00000,0.00000
12480,195,30,1.6671,0.0002,1.6670,1.6692,4.001,0.00009,0.00000,0.00000,0.00000,0.00000,0.00000
15616,244,30,1.6671,0.0002,1.6670,1.6692,4.001,0.00011,0.00000,0.00000,0.00000,0.00000,0.00000
16384,256,30,1.6673,0.0003,1.6671,1.6693,4.001,0.00011,0.00000,0.00000,0.00000,0.00000,0.00000
19520,305,30,1.6673,0.0003,1.6672,1.6696,4.001,0.00016,0.00000,0.00000,0.00000,0.00000,0.00000
24384,381,30,1.6675,0.0002,1.6674,1.6696,4.002,0.00022,0.00000,0.00000,0.00000,0.00000,0.00000
30464,476,30,1.6678,0.0003,1.6677,1.6698,4.002,0.00028,0.00001,0.00000,0.00000,0.00000,0.00000
32768,512,30,1.6680,0.0005,1.6677,1.6698,4.002,0.00029,0.00000,0.00000,0.00000,0.00000,0.00000
38144,596,30,1.6685,0.0008,1.6680,1.6705,4.003,0.00042,0.00001,0.00000,0.00000,0.00000,0.00000
47680,745,30,1.6692,0.0011,1.6686,1.6710,4.005,0.00060,0.00001,0.00000,0.00000,0.00000,0.00000
59584,931,30,1.6698,0.0008,1.6693,1.6722,4.008,0.00082,0.00001,0.00000,0.00000,0.00000,0.00000
65536,1024,30,1.6699,0.0004,1.6697,1.6729,4.008,0.00091,0.00002,0.00000,0.00000,0.00000,0.00000
74496,1164,30,3.5307,0.0031,3.5275,3.5332,8.469,0.60204,0.00003,0.00000,0.00000,0.00001,0.00000
93120,1455,30,4.9571,0.0024,4.9558,4.9597,11.887,1.00000,0.00006,0.00000,0.00000,0.00001,0.00000
116352,1818,30,4.9487,0.0025,4.9476,4.9509,11.869,1.00000,0.00009,0.00000,0.00000,0.00002,0.00000
131072,2048,30,4.9136,0.0019,4.9085,4.9143,11.787,1.00000,0.00013,0.00000,0.00000,0.00002,0.00000
145472,2273,30,4.8923,0.0019,4.8915,4.8948,11.733,1.00000,0.00017,0.00000,0.00000,0.00002,0.00000
181888,2842,30,4.8599,0.0023,4.8581,4.8604,11.655,1.00000,0.00039,0.00000,0.00000,0.00002,0.00000
227328,3552,30,4.8739,0.0021,4.8709,4.8745,11.688,1.00000,0.00049,0.00000,0.00000,0.00003,0.00000
262144,4096,30,4.8593,0.0020,4.8582,4.8614,11.656,1.00000,0.00073,0.00000,0.00000,0.00003,0.00000
284160,4440,30,4.8518,0.0053,4.8496,4.8558,11.636,1.00000,0.00098,0.00000,0.00000,0.00003,0.00000
355264,5551,30,4.8752,0.0074,4.8694,4.8803,11.689,1.00000,0.00293,0.00000,0.00000,0.00004,0.00000
444032,6938,30,5.3205,0.0277,5.3090,5.3452,12.756,1.00000,0.04560,0.00001,0.00001,0.00005,0.00000
524288,8192,30,6.2844,0.0417,6.2506,6.3096,15.073,1.00000,0.13828,0.00001,0.00001,0.00009,0.00000
555072,8673,30,7.6089,0.0291,7.5561,7.6161,18.242,1.00000,0.26343,0.00000,0.00000,0.00010,0.00000
693888,10842,30,11.3491,0.0358,11.2877,11.3708,27.220,1.00000,0.61181,0.00000,0.00000,0.00016,0.00000
867328,13552,30,13.7584,0.0263,13.7431,13.7965,32.980,1.00000,0.81978,0.00000,0.00000,0.09515,0.00000
1048576,16384,30,15.2214,0.0795,15.1767,15.2739,36.507,1.00000,0.93359,0.00000,0.00000,0.25122,0.00000
1084160,16940,30,15.3628,0.0106,15.3564,15.3906,36.842,1.00000,0.94188,0.00001,0.00001,0.28205,0.00000
1355200,21175,30,16.0694,0.0698,16.0498,16.1071,38.539,1.00000,0.98656,0.00007,0.00007,0.42029,0.00000
1694016,26469,30,19.4259,0.1077,19.3645,19.4644,46.573,1.00000,0.98585,0.03196,0.03196,0.53943,0.00000
2097152,32768,30,23.5076,0.4631,23.2152,24.1638,56.297,0.99999,0.99343,0.07466,0.07466,0.62816,0.00000
2117568,33087,30,24.1696,0.3044,23.9591,24.3650,57.810,0.99999,0.99047,0.08237,0.08237,0.63108,0.00000
2646976,41359,30,34.3352,0.2873,34.2297,34.6595,82.290,0.99999,0.99224,0.19979,0.19979,0.70776,0.00000
3308672,51698,30,49.5786,0.3934,49.2927,49.8974,118.747,0.99998,0.99494,0.37510,0.37510,0.76631,0.00000
4135872,64623,30,64.2311,1.1165,63.6316,65.0659,153.938,0.99997,0.99450,0.54679,0.54679,0.81538,0.00000
4194304,65536,30,64.9114,0.6920,64.4426,65.3735,155.232,0.99997,0.99708,0.55058,0.55058,0.81361,0.00000
5169856,80779,30,74.1688,0.8051,73.8539,74.9821,177.775,0.99997,0.99742,0.66417,0.66417,0.84921,0.00000
6462336,100974,30,81.6438,0.8015,81.3348,82.2905,195.631,0.99996,0.99780,0.75223,0.75223,0.87923,0.00001
8077888,126217,30,86.6366,0.5460,86.4979,87.3314,207.710,0.99996,0.99742,0.82949,0.82949,0.90599,0.00001
8388608,131072,30,87.5211,0.6672,87.2040,88.3750,209.813,0.99996,0.99822,0.82948,0.82948,0.90708,0.00002
10097408,157772,30,91.0661,0.7396,90.6475,91.6097,218.362,0.99996,0.99844,0.87241,0.87241,0.92372,0.00003
12621760,197215,30,94.2095,0.7296,93.5929,94.4144,225.418,0.99995,0.99831,0.93664,0.93664,0.94074,0.00006
15777216,246519,30,96.1922,0.4636,96.0265,96.7928,230.638,0.99995,0.99922,0.96073,0.96073,0.95227,0.00026
16777216,262144,30,96.9235,0.4056,96.7354,97.3377,232.410,0.99995,0.99935,0.96106,0.96106,0.95452,0.00038
19721472,308148,30,98.2613,0.3612,98.0496,98.6498,235.600,0.99996,1.00092,0.98274,0.98274,0.96186,0.00372
24651840,385185,30,102.1935,0.6630,101.8314,102.9492,245.005,0.99997,1.00543,1.00203,1.00203,0.96953,0.15447
30814848,481482,30,104.5305,0.3865,104.3846,104.7123,250.568,0.99997,1.00419,1.01482,1.01482,0.97655,0.32471
33554432,524288,30,105.2888,0.4366,105.0955,106.1556,252.379,0.99998,1.00391,1.02899,1.02899,0.97818,0.37983
38518592,601853,30,106.3465,0.4111,106.1218,106.8794,254.964,0.99998,1.00399,1.02983,1.02983,0.98133,0.46076
48148224,752316,30,108.1386,0.5114,107.8053,108.9450,259.269,0.99998,1.00492,1.04515,1.04515,0.98516,0.56882
60185280,940395,30,110.1954,0.5801,109.6153,110.2700,264.179,0.99998,1.00712,1.06234,1.06234,0.98826,0.65596
67108864,1048576,30,109.7545,0.4444,109.4175,110.0722,263.104,0.99998,1.00859,1.05589,1.05589,0.98982,0.69102
75231616,1175494,30,110.3544,0.4243,109.9970,110.7215,264.519,0.99998,1.01083,1.04954,1.04954,0.99069,0.72525
94039488,1469367,30,111.1297,0.2524,110.8772,111.2476,266.427,0.99997,1.01629,1.04851,1.04851,0.99282,0.78008
117549376,1836709,30,111.5261,0.1388,111.4358,111.6401,267.417,0.99997,1.02837,1.04395,1.04395,0.99423,0.82444
134217728,2097152,30,111.9528,0.0880,111.9026,111.9808,268.421,0.99997,1.03966,1.06770,1.06770,0.99565,0.84697
146936768,2295887,30,112.2345,0.0448,112.2120,112.2594,269.080,0.99997,1.05312,1.06491,1.06491,0.99606,0.85990
183670976,2869859,30,112.8160,0.0480,112.7936,112.8446,270.505,0.99997,1.08577,1.05932,1.05932,0.99696,0.88827
229588736,3587324,30,113.2973,0.0265,113.2853,113.3205,271.642,0.99997,1.11139,1.06298,1.06298,0.99802,0.91134
268435456,4194304,30,113.7073,0.0342,113.6909,113.9365,272.617,0.99997,1.13634,1.06484,1.06484,0.99823,0.92411
286985920,4484155,30,113.8734,0.0252,113.8555,113.8795,273.012,0.99997,1.14786,1.05939,1.05939,0.99861,0.92934
358732352,5605193,30,114.6590,0.0468,114.6327,114.6875,274.875,0.99997,1.20292,1.06408,1.06408,0.99926,0.94395
448415488,7006492,30,115.7294,0.0405,115.7078,115.7730,277.466,0.99997,1.28519,1.06172,1.06172,0.99951,0.95528
536870912,8388608,30,116.6130,0.0245,116.5976,116.6341,279.580,0.99997,1.35225,1.06632,1.06632,0.99982,0.96305
560519360,8758115,30,116.7640,0.0273,116.7484,116.7860,279.927,0.99997,1.36458,1.05719,1.05719,0.99968,0.96456
700649216,10947644,30,117.8521,0.0694,117.8245,117.8831,282.549,0.99997,1.44734,1.06518,1.06518,1.00022,0.97210
875811520,13684555,30,118.7768,0.0776,118.7361,119.3319,284.720,0.99997,1.51905,1.06144,1.06144,1.00025,0.97792
1073741824,16777216,30,119.6930,0.0752,119.6662,119.7463,286.959,0.99997,1.59034,1.06201,1.06201,1.00045,0.98228
