kind,a,b,c,d,e,f,g,h
instr_header,name,kind,cycles_per_instr,retired_per_instr
instr,"add x,x,x",latency,1.0002,1.1251
instr,"add x,x,x",throughput,0.3545,1.1251
instr,"mul x,x,x",latency,4.0627,1.1251
instr,"mul x,x,x",throughput,3.0002,1.1251
instr,"madd x,x,x,x",latency (accumulator),4.0627,1.1251
instr,"madd x,x,x,x",throughput,3.0002,1.1251
instr,"sdiv x,x,x (divide by 1)",latency,5.0002,1.1251
instr,"sdiv x,x,x (0x7fff.. / 3)",throughput,20.0002,1.1251
instr,"fadd d,d,d",latency,2.0002,1.1251
instr,"fadd d,d,d",throughput,0.5003,1.1251
instr,"fmul d,d,d",latency,3.0002,1.1251
instr,"fmul d,d,d",throughput,0.5003,1.1251
instr,"fmla v.4s (NEON)",latency (accumulator),2.0002,1.1251
instr,"fmla v.4s (NEON)",throughput,0.5003,1.1251
instr,"sdot v.4s,v.16b,v.16b",latency (accumulator),1.0002,1.1251
instr,"sdot v.4s,v.16b,v.16b",throughput,0.5003,1.1251
instr,"ldr x,[x] (L1 hit)",latency,4.0003,1.1251
instr,"ldr x,[x] (L1 hit)",throughput,0.5003,1.1251
instr,"ldp x,x,[x]",latency,4.0003,1.1251
instr,"ldp x,x,[x]",throughput,1.0003,1.1251
instr,"ldp q,q,[x]",throughput,1.0003,1.1251
instr,"str x,[x]",throughput,0.5033,1.1251
instr,"stp x,x,[x]",throughput,3.0002,1.1251
instr,"dmb ish",throughput (alone),7.0004,1.1251
instr,"str + dmb ish",throughput (pairs, per pair),12.0004,2.1251
instr,"ldar x,[x]",latency,4.0003,1.1251
instr,"ldar x,[x]",throughput,0.5003,1.1251
instr,"stlr x,[x]",throughput,0.5006,1.1251
instr,"ldadd (LSE), same line",throughput,13.0004,1.1251
instr,"ldadd (LSE), 4 lines",throughput,13.0004,1.1251
mlp_header,level,k,cycles_per_load,ns_per_load
mlp,L2-resident,1,12.643,5.268
mlp,L2-resident,2,6.703,2.793
mlp,L2-resident,3,4.733,1.972
mlp,L2-resident,4,3.753,1.564
mlp,L2-resident,5,3.250,1.354
mlp,L2-resident,6,2.913,1.214
mlp,L2-resident,7,2.719,1.133
mlp,L2-resident,8,2.590,1.079
mlp,L2-resident,9,2.495,1.040
mlp,L2-resident,10,2.443,1.018
mlp,L2-resident,11,2.358,0.982
mlp,L2-resident,12,2.275,0.948
mlp,L2-resident,14,2.258,0.941
mlp,L2-resident,16,2.264,0.943
mlp,L2-resident,18,2.249,0.937
mlp,L2-resident,20,2.236,0.932
mlp,L2-resident,22,2.240,0.933
mlp,DRAM,1,235.540,98.142
mlp,DRAM,2,118.744,49.477
mlp,DRAM,3,81.829,34.095
mlp,DRAM,4,63.486,26.452
mlp,DRAM,5,52.566,21.903
mlp,DRAM,6,45.066,18.777
mlp,DRAM,7,39.778,16.574
mlp,DRAM,8,35.697,14.874
mlp,DRAM,9,32.512,13.547
mlp,DRAM,10,30.123,12.551
mlp,DRAM,11,28.145,11.727
mlp,DRAM,12,26.853,11.189
mlp,DRAM,14,26.027,10.845
mlp,DRAM,16,25.991,10.829
mlp,DRAM,18,25.981,10.825
mlp,DRAM,20,26.058,10.857
mlp,DRAM,22,25.977,10.824
window_header,filler,n,cycles_per_iter,instr_per_iter,stall_backend_per_iter,cycles_per_iter_l1_hit_reference
window_jump_header,filler,n_lo,n_hi,jump_cycles,window_lo,window_hi
window,nop,0,29.639,8.004,27.200,3.788
window,nop,1,29.476,9.004,26.645,3.616
window,nop,2,29.894,10.004,10.471,3.576
window,nop,4,32.857,12.004,29.310,3.704
window,nop,8,40.164,16.004,35.486,4.011
window,nop,12,44.712,20.004,38.982,5.015
window,nop,16,50.371,24.004,43.575,6.011
window,nop,20,57.938,28.004,50.123,7.013
window,nop,24,68.179,32.004,59.321,8.013
window,nop,26,69.341,34.004,59.494,8.513
window,nop,28,69.963,36.004,60.106,9.013
window,nop,30,70.247,38.004,59.396,9.511
window,nop,32,70.855,40.004,59.984,10.013
window,nop,34,71.079,42.004,59.330,10.511
window,nop,36,88.433,44.004,76.566,11.010
window,nop,38,89.041,46.004,76.502,11.512
window,nop,40,89.263,48.004,76.385,12.012
window,nop,42,89.936,50.004,76.145,12.516
window,nop,44,90.134,52.004,76.254,13.014
window,nop,46,90.848,54.004,76.039,13.511
window,nop,48,91.039,56.004,76.164,14.011
window,nop,50,91.723,58.004,76.070,14.512
window,nop,52,92.289,60.004,76.435,15.013
window,nop,54,93.182,62.004,76.773,15.512
window,nop,56,125.122,64.004,108.202,16.012
window,nop,58,127.474,66.004,109.619,16.513
window,nop,60,127.311,68.004,109.392,17.012
window,nop,62,127.605,70.004,108.745,17.513
window,nop,64,127.878,72.004,108.948,18.010
window,nop,66,128.630,74.004,108.772,18.515
window,nop,68,128.967,76.004,109.055,19.013
window,nop,70,129.769,78.004,109.204,19.513
window,nop,72,130.400,80.004,109.515,20.012
window,nop,74,130.655,82.004,108.772,20.511
window,nop,76,130.636,84.004,108.739,21.015
window,nop,78,131.587,86.004,108.695,21.511
window,nop,80,131.851,88.004,108.944,22.013
window,nop,82,133.027,90.004,109.506,22.514
window,nop,84,133.394,92.004,109.499,23.012
window,nop,86,133.715,94.004,109.242,23.518
window,nop,88,134.262,96.004,109.371,24.014
window,nop,90,134.573,98.004,108.688,24.516
window,nop,92,134.681,100.004,108.773,25.013
window,nop,94,135.682,102.004,108.803,25.513
window,nop,96,136.056,104.004,109.153,26.014
window,nop,98,136.755,106.004,109.156,26.512
window,nop,100,137.190,108.004,109.302,27.012
window,nop,102,137.677,110.004,109.066,27.514
window,nop,104,138.252,112.004,109.358,28.015
window,nop,106,138.776,114.004,108.877,28.513
window,nop,108,138.859,116.004,108.967,29.014
window,nop,110,139.856,118.004,108.967,29.512
window,nop,112,140.203,120.004,109.303,30.012
window,nop,114,140.848,122.004,109.188,30.516
window,nop,116,141.330,124.004,109.446,31.015
window,nop,118,141.854,126.004,109.244,31.515
window,nop,120,230.999,128.004,198.013,32.013
window,nop,122,231.743,130.004,197.753,32.516
window,nop,124,234.700,132.004,200.716,33.012
window,nop,126,235.556,134.004,200.574,33.512
window,nop,128,235.678,136.004,200.680,34.013
window,nop,130,236.604,138.004,200.759,34.512
window,nop,132,236.450,140.004,200.457,35.015
window,nop,134,237.405,142.004,200.709,35.512
window,nop,136,237.190,144.004,200.196,36.014
window,nop,138,237.268,146.004,199.286,36.513
window,nop,140,237.409,148.004,199.414,37.014
window,nop,142,239.569,150.004,200.583,37.515
window,nop,144,239.277,152.004,200.257,38.013
window,nop,160,242.613,168.004,199.608,42.014
window,nop,176,247.953,184.004,200.968,46.014
