kind,a,b,c,d,e,f,g,h,i,j,k
stride_header,region,stride_lines,ns,cycles,ratio_vs_random,l1r,l2r,l3r,llmiss,bus,walk
stride,L2-resident,1,1.9030,4.562,0.3937,0.05608,0.00014,0.00000,0.00000,0.0092,0.00000
stride,L2-resident,2,4.9499,11.872,1.0242,0.96537,0.00035,0.00000,0.00000,0.0108,0.00000
stride,L2-resident,3,3.6145,8.666,0.7479,0.62069,0.00051,0.00001,0.00001,0.0120,0.00000
stride,L2-resident,4,4.7883,11.482,0.9908,0.91464,0.00046,0.00000,0.00000,0.0107,0.00000
stride,L2-resident,5,4.2259,10.136,0.8744,0.84566,0.00066,0.00001,0.00001,0.0115,0.00000
stride,L2-resident,6,4.8920,11.734,1.0122,0.94541,0.00085,0.00003,0.00003,0.0133,0.00000
stride,L2-resident,8,4.4772,10.738,0.9264,0.82004,0.00049,0.00001,0.00001,0.0077,0.00000
stride,L2-resident,10,3.6841,8.836,0.7623,0.56837,0.00046,0.00001,0.00001,0.0085,0.00000
stride,L2-resident,12,4.3555,10.444,0.9012,0.78703,0.00064,0.00000,0.00000,0.0092,0.00000
stride,L2-resident,16,4.6083,11.054,0.9535,0.86238,0.00042,0.00000,0.00000,0.0076,0.00000
stride,L2-resident,18,4.6681,11.197,0.9659,0.88243,0.00059,0.00000,0.00000,0.0085,0.00000
stride,L2-resident,20,4.7726,11.447,0.9875,0.91508,0.00072,0.00000,0.00000,0.0094,0.00000
stride,L2-resident,21,4.6460,11.145,0.9613,1.00000,0.00078,0.00000,0.00000,0.0066,0.00000
stride,L2-resident,22,5.0627,12.143,1.0475,1.00000,0.00090,0.00000,0.00000,0.0071,0.00000
stride,L2-resident,23,4.6493,11.151,0.9620,1.00000,0.00076,0.00000,0.00000,0.0064,0.00000
stride,L2-resident,24,5.0635,12.144,1.0477,1.00000,0.00093,0.00000,0.00000,0.0078,0.00000
stride,L2-resident,32,5.0605,12.137,1.0471,1.00000,0.00075,0.00000,0.00000,0.0061,0.00000
stride,L2-resident,48,5.0085,12.013,1.0363,1.00000,0.00093,0.00000,0.00000,0.0078,0.00000
stride,L2-resident,64,5.0584,12.133,1.0466,1.00000,0.00085,0.00000,0.00000,0.0066,0.00000
stride,L2-resident,96,5.0547,12.125,1.0459,1.00000,0.00091,0.00000,0.00000,0.0075,0.00000
stride,L2-resident,128,5.0563,12.125,1.0462,1.00000,0.00094,0.00000,0.00000,0.0078,0.00000
