pages,span_bytes,n_valid_paged,ns_paged,ns_paged_ci95_lo,ns_paged_ci95_hi,ns_packed,ns_packed_ci95_lo,ns_packed_ci95_hi,delta_ns,l1d_tlb_refill_per_load_paged,dtlb_walk_per_load_paged,l1d_tlb_refill_per_load_packed,l1d_refill_per_load_paged,l1d_refill_per_load_packed
4,65536,30,1.6667,1.6667,1.6691,1.6667,1.6667,1.6689,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000
6,98304,30,1.6678,1.6667,1.6690,1.6667,1.6667,1.6689,0.0011,0.00001,0.00000,0.00000,0.00000,0.00001
8,131072,30,1.6667,1.6667,1.6689,1.6682,1.6667,1.6689,-0.0015,0.00001,0.00000,0.00000,0.00000,0.00001
12,196608,30,1.6667,1.6667,1.6689,1.6682,1.6667,1.6691,-0.0014,0.00001,0.00000,0.00000,0.00001,0.00001
16,262144,30,1.6667,1.6667,1.6691,1.6667,1.6667,1.6691,0.0000,0.00002,0.00000,0.00000,0.00001,0.00001
24,393216,30,1.6668,1.6668,1.6692,1.6668,1.6667,1.6689,0.0000,0.00002,0.00000,0.00000,0.00001,0.00002
32,524288,30,1.6668,1.6668,1.6691,1.6668,1.6668,1.6689,0.0000,0.00003,0.00000,0.00000,0.00002,0.00002
40,655360,30,1.6668,1.6668,1.6692,1.6668,1.6668,1.6689,0.0000,0.00004,0.00000,0.00000,0.00002,0.00002
44,720896,30,1.6669,1.6668,1.6691,1.6668,1.6668,1.6688,0.0001,0.00004,0.00000,0.00000,0.00002,0.00003
48,786432,30,1.6669,1.6668,1.6691,1.6668,1.6668,1.6689,0.0001,0.00005,0.00000,0.00000,0.00002,0.00003
52,851968,30,3.7522,3.7522,3.7523,1.6668,1.6668,1.6690,2.0854,1.00000,0.00000,0.00000,0.00003,0.00003
56,917504,30,3.7525,3.7523,3.7528,1.6668,1.6668,1.6690,2.0857,1.00000,0.00000,0.00000,0.00003,0.00003
60,983040,30,3.7522,3.7522,3.7524,1.6669,1.6668,1.6690,2.0854,1.00000,0.00000,0.00000,0.00003,0.00003
64,1048576,30,3.7523,3.7522,3.7524,1.6669,1.6668,1.6690,2.0854,1.00000,0.00000,0.00000,0.00003,0.00004
96,1572864,30,3.7523,3.7523,3.7526,1.6671,1.6669,1.6693,2.0852,1.00000,0.00000,0.00000,0.00006,0.00005
128,2097152,30,3.7525,3.7524,3.7527,1.6670,1.6669,1.6691,2.0855,1.00000,0.00000,0.00000,0.00007,0.00007
192,3145728,30,3.7528,3.7526,3.7584,1.6671,1.6670,1.6691,2.0857,1.00000,0.00000,0.00000,0.00011,0.00008
256,4194304,30,3.7939,3.7934,3.8183,1.6672,1.6671,1.6693,2.1267,1.00000,0.00000,0.00000,0.01971,0.00012
384,6291456,30,3.8930,3.8703,3.9164,1.6685,1.6675,1.6697,2.2245,1.00000,0.00000,0.00000,0.06539,0.00023
512,8388608,30,4.0418,4.0361,4.0862,1.6680,1.6677,1.6700,2.3737,1.00000,0.00001,0.00000,0.13709,0.00029
768,12582912,30,4.4947,4.4938,4.5276,1.6696,1.6688,1.6717,2.8251,1.00000,0.00005,0.00000,0.35207,0.00059
1024,16777216,30,4.8917,4.8852,4.9136,1.6710,1.6701,1.6734,3.2207,1.00000,0.00029,0.00000,0.53666,0.00090
1152,18874368,30,5.1118,5.1102,5.1353,3.3837,3.3823,3.3870,1.7280,1.00000,0.00413,0.00001,0.63508,0.55626
1280,20971520,30,5.2896,5.2842,5.2971,4.7938,4.7929,4.7959,0.4957,1.00000,0.00463,0.00001,0.70981,1.00000
1344,22020096,30,6.2275,6.2231,6.2322,4.7985,4.7969,4.7990,1.4290,1.00000,0.14957,0.00001,0.76684,1.00000
1408,23068672,30,7.0465,7.0314,7.0634,4.7927,4.7924,4.7933,2.2539,1.00000,0.29826,0.00001,0.79733,1.00000
1536,25165824,30,8.3117,8.2944,8.4563,4.7895,4.7885,4.7944,3.5223,1.00195,0.50568,0.00002,0.85512,1.00000
2048,33554432,30,9.6435,9.6041,9.6812,4.7997,4.7967,4.8012,4.8438,1.00000,0.70872,0.00002,0.96206,1.00000
3072,50331648,30,10.8948,10.8857,10.9450,4.8074,4.8060,4.8087,6.0874,1.00033,0.88313,0.00002,0.99517,1.00000
4096,67108864,30,12.0524,11.9877,12.1629,4.8045,4.8038,4.8064,7.2479,1.00437,0.93415,0.00003,1.00000,1.00000
6144,100663296,30,14.7543,14.5412,14.8263,4.9162,4.9050,4.9344,9.8381,1.00306,0.99122,0.00005,1.00000,1.00000
8192,134217728,30,18.0864,17.8293,18.1524,7.3544,7.3387,7.4189,10.7320,1.00145,1.00105,0.00009,1.00000,1.00000
12288,201326592,30,22.6550,22.4981,22.6596,12.6569,12.6426,12.6641,9.9981,1.00617,1.00483,0.00021,1.00000,1.00000
16384,268435456,30,24.8149,24.7194,24.9941,15.0325,15.0220,15.1116,9.7825,1.00310,1.00229,0.25235,1.00000,1.00000
24576,402653184,30,32.1949,31.3427,33.9629,16.2270,16.2168,16.2362,15.9679,1.00365,1.00335,0.50065,1.00000,1.00000
32768,536870912,30,59.9675,57.5850,60.6472,17.3863,17.3224,17.4419,42.5812,1.00579,1.00531,0.62810,0.99999,1.00000
49152,805306368,30,84.0346,83.2031,88.4951,45.8630,45.6080,46.3122,38.1716,1.00864,1.00822,0.75361,0.99998,0.99998
65536,1073741824,30,97.1750,95.9265,99.0730,65.2935,64.7470,65.6514,31.8815,1.00458,1.00437,0.81578,0.99998,0.99997
